"species","lat","lon","occ.ID"
"Chlorochrysa nitidissima",3.5895,-76.5972,1
"Chlorochrysa nitidissima",3.5665,-76.5854,2
"Chlorochrysa nitidissima",3.5388,-76.6062,3
"Chlorochrysa nitidissima",5.1832,-76.08,4
"Chlorochrysa nitidissima",3.5238,-76.617,5
"Chlorochrysa nitidissima",4.7255,-75.5716,6
"Chlorochrysa nitidissima",4.7285,-75.5779,7
"Chlorochrysa nitidissima",5.2037,-75.952,8
"Chlorochrysa nitidissima",3.8687,-76.4311,9
"Chlorochrysa nitidissima",3.5,-76.6333,10
"Chlorochrysa nitidissima",5.3731,-75.891,11
"Chlorochrysa nitidissima",3.5324,-76.6122,12
"Chlorochrysa nitidissima",5.2433,-76.108,13
"Chlorochrysa nitidissima",4.7415,-76.296,14
"Chlorochrysa nitidissima",5.1698,-75.9787,15
"Chlorochrysa nitidissima",4.6302,-75.6321,16
"Chlorochrysa nitidissima",5.4721,-75.1169,17
"Chlorochrysa nitidissima",4.7021,-75.5359,18
"Chlorochrysa nitidissima",4.822,-76.1766,19
"Chlorochrysa nitidissima",5.1918,-75.9575,20
"Chlorochrysa nitidissima",5.1799,-76.1105,21
"Chlorochrysa nitidissima",3.8818,-76.5886,22
"Chlorochrysa nitidissima",3.9414,-76.563,23
"Chlorochrysa nitidissima",4.0109,-76.4763,24
"Chlorochrysa nitidissima",3.423,-76.6603,25
"Chlorochrysa nitidissima",4.6717,-75.6283,26
"Chlorochrysa nitidissima",3.4853,-76.6178,27
"Chlorochrysa nitidissima",4.6738,-75.6075,28
"Chlorochrysa nitidissima",6.9862,-75.1251,29
"Chlorochrysa nitidissima",4.771,-75.6226,30
"Chlorochrysa nitidissima",3.461,-76.6591,31
"Chlorochrysa nitidissima",6.9794,-75.1342,32
"Chlorochrysa nitidissima",7.07,-75.15,33
"Chlorochrysa nitidissima",3.3306,-76.654,34
"Chlorochrysa nitidissima",3.6833,-76.5833,35
"Chlorochrysa nitidissima",3.4333,-76.6167,36
"Chlorochrysa nitidissima",3.8609,-76.1939,37
"Chlorochrysa nitidissima",3.8754,-76.4363,38
"Chlorochrysa nitidissima",6.9888,-75.1202,39
"Chlorochrysa nitidissima",6.8178,-75.0994,40
"Chlorochrysa nitidissima",3.5372,-76.617,41
"Chlorochrysa nitidissima",4.7504,-76.2891,42
"Chlorochrysa nitidissima",4.5529,-76.1368,43
"Chlorochrysa nitidissima",4.6738,-75.6166,44
"Chlorochrysa nitidissima",4.0161,-76.4991,45
"Chlorochrysa nitidissima",3.8939,-76.6408,46
"Chlorochrysa nitidissima",3.9314,-76.5622,47
"Chlorochrysa nitidissima",6.8289,-75.1086,48
"Chlorochrysa nitidissima",4.9516,-75.5409,49
"Chlorochrysa nitidissima",6.9219,-75.0347,50
"Chlorochrysa nitidissima",3.5,-76.63,51
"Chlorochrysa nitidissima",6.5866,-76.2417,52
"Chlorochrysa nitidissima",7.0724,-75.1442,53
"Chlorochrysa nitidissima",7.0825,-75.1562,54
"Chlorochrysa nitidissima",2.519,-76.9149,55
"Chlorochrysa nitidissima",4.7587,-75.5418,56
"Chlorochrysa nitidissima",5.04,-76.0833,57
"Chlorochrysa nitidissima",5.2,-76.1,58
"Chlorochrysa nitidissima",4.763,-75.4967,59
"Chlorochrysa nitidissima",4.7256,-75.5447,60
"Chlorochrysa nitidissima",4.6144,-75.6614,61
"Chlorochrysa nitidissima",5.1926,-76.1421,62
"Chlorochrysa nitidissima",3.5625,-76.5935,63
"Chlorochrysa nitidissima",4.0489,-76.4575,64
"Chlorochrysa nitidissima",4.6789,-75.6139,65
"Chlorochrysa nitidissima",4.6739,-75.6181,66
"Chlorochrysa nitidissima",2.5833,-76.9167,67
"Chlorochrysa nitidissima",3.5748,-76.5813,68
"Chlorochrysa nitidissima",6.9801,-75.1146,69
"Chlorochrysa nitidissima",3.5262,-76.6168,70
"Chlorochrysa nitidissima",4.7198,-75.5639,71
"Chlorochrysa nitidissima",3.4335,-76.6146,72
"Chlorochrysa nitidissima",4.7112,-75.495,73
"Chlorochrysa nitidissima",3.5798,-76.5721,74
"Chlorochrysa nitidissima",3.5629,-76.6041,75
"Chlorochrysa nitidissima",6.8707,-75.0954,76
"Chlorochrysa nitidissima",5.1303,-76.0082,77
"Chlorochrysa nitidissima",5.1917,-76.07,78
"Chlorochrysa nitidissima",4.7582,-75.6115,79
"Chlorochrysa nitidissima",7.0873,-75.1877,80
"Chlorochrysa nitidissima",4.7189,-75.567,81
"Chlorochrysa nitidissima",5.1973,-75.9607,82
"Chlorochrysa nitidissima",6.8678,-75.1087,83
"Chlorochrysa nitidissima",5.176,-75.9763,84
"Chlorochrysa nitidissima",5.1533,-75.9956,85
"Chlorochrysa nitidissima",3.5378,-76.585,86
"Chlorochrysa nitidissima",4.6753,-75.6279,87
"Chlorochrysa nitidissima",3.8809,-76.5635,88
"Chlorochrysa nitidissima",3.4085,-76.6496,89
"Chlorochrysa nitidissima",3.5423,-76.6184,90
"Chlorochrysa nitidissima",3.8774,-76.5579,91
"Chlorochrysa nitidissima",5.2947,-75.8925,92
"Chlorochrysa nitidissima",3.8992,-76.6194,93
"Chlorochrysa nitidissima",3.3754,-76.6346,94
"Chlorochrysa nitidissima",5.1803,-76.0004,95
"Chlorochrysa nitidissima",5.5046,-75.8846,96
"Chlorochrysa nitidissima",3.5601,-76.5763,97
"Chlorochrysa nitidissima",5.2317,-76.0823,98
"Chlorochrysa nitidissima",3.491,-76.6281,99
"Chlorochrysa nitidissima",3.4642,-76.64,100
"Chlorochrysa nitidissima",5.1038,-75.4827,101
"Chlorochrysa nitidissima",5.3807,-75.8882,102
"Chlorochrysa nitidissima",5.2875,-75.9094,103
"Chlorochrysa nitidissima",4.5643,-76.1864,104
"Chlorochrysa nitidissima",4.8102,-76.1718,105
"Chlorochrysa nitidissima",3.5045,-76.6207,106
"Chlorochrysa nitidissima",5.1715,-76.0394,107
"Chlorochrysa nitidissima",7.0598,-75.4007,108
"Chlorochrysa nitidissima",3.5748,-76.5713,109
"Chlorochrysa nitidissima",5.3971,-75.8966,110
"Chlorochrysa nitidissima",5.1737,-76.0205,111
"Chlorochrysa nitidissima",6.9859,-75.1405,112
"Chlorochrysa nitidissima",5.0553,-75.5143,113
"Chlorochrysa nitidissima",2.5077,-77.064,114
"Chlorochrysa nitidissima",3.5697,-76.5886,115
"Chlorochrysa nitidissima",3.555,-76.5792,116
"Chlorochrysa nitidissima",3.315,-76.6386,117
"Chlorochrysa nitidissima",3.8881,-76.6017,118
"Chlorochrysa nitidissima",5.3744,-75.8998,119
"Chlorochrysa nitidissima",7.0916,-75.485,120
"Chlorochrysa nitidissima",3.8647,-76.5553,121
"Chlorochrysa nitidissima",5.2326,-76.0952,122
"Chlorochrysa nitidissima",5.1114,-76.0252,123
"Chlorochrysa nitidissima",5.3521,-75.8795,124
"Chlorochrysa nitidissima",3.5488,-76.5848,125
"Chlorochrysa nitidissima",5.3626,-75.8815,126
"Chlorochrysa nitidissima",3.5434,-76.5992,127
"Chlorochrysa nitidissima",5.2301,-76.0834,128
"Chlorochrysa nitidissima",3.5434,-76.6048,129
"Chlorochrysa nitidissima",3.8882,-76.6289,130
"Chlorochrysa nitidissima",3.8946,-76.6328,131
"Chlorochrysa nitidissima",3.9345,-76.5333,132
"Chlorochrysa nitidissima",3.5676,-76.6086,133
"Chlorochrysa nitidissima",3.9197,-76.1871,134
"Chlorochrysa nitidissima",3.4103,-76.6658,135
"Chlorochrysa nitidissima",3.4339,-76.6336,136
"Chlorochrysa nitidissima",3.4217,-76.6506,137
"Chlorochrysa nitidissima",4.8264,-76.1789,138
"Chlorochrysa nitidissima",4.7022,-76.2192,139
"Chlorochrysa nitidissima",4.6891,-75.5496,140
"Chlorochrysa nitidissima",4.7693,-76.1608,141
"Chlorochrysa nitidissima",4.7125,-75.5536,142
"Chlorochrysa nitidissima",4.7094,-75.5497,143
"Chlorochrysa nitidissima",4.803,-75.5677,144
"Chlorochrysa nitidissima",4.7722,-75.5848,145
"Chlorochrysa nitidissima",4.5653,-76.2555,146
"Chlorochrysa nitidissima",7.0074,-75.1337,147
"Chlorochrysa nitidissima",4.711,-75.4859,148
"Chlorochrysa nitidissima",3.3786,-76.6227,149
"Chlorochrysa nitidissima",4.2254,-75.897,150
"Chlorochrysa nitidissima",4.2275,-75.9069,151
"Chlorochrysa nitidissima",3.8755,-76.1739,152
"Chlorochrysa nitidissima",6.538,-76.262,153
"Chlorochrysa nitidissima",4.7421,-75.5991,154
"Chlorochrysa nitidissima",3.5347,-76.6089,155
"Chlorochrysa nitidissima",3.4576,-76.6632,156
"Chlorochrysa nitidissima",4.6252,-76.2807,157
"Chlorochrysa nitidissima",4.7078,-75.493,158
"Chlorochrysa nitidissima",5.1275,-76.0212,159
"Chlorochrysa nitidissima",3.3271,-76.6206,160
"Chlorochrysa nitidissima",5.4558,-75.0463,161
"Chlorochrysa nitidissima",4.7345,-75.5893,162
"Chlorochrysa nitidissima",4.7383,-75.5921,163
"Chlorochrysa nitidissima",4.7604,-75.6161,164
"Chlorochrysa nitidissima",6.9842,-75.1122,165
"Chlorochrysa nitidissima",4.784,-75.6105,166
"Chlorochrysa nitidissima",3.576,-76.5813,167
"Chlorochrysa nitidissima",4.569,-76.2119,168
"Chlorochrysa nitidissima",4.7113,-75.6069,169
"Chlorochrysa nitidissima",5.1475,-75.9461,170
"Chlorochrysa nitidissima",6.9829,-75.1079,171
"Chlorochrysa nitidissima",4.9595,-75.5343,172
"Chlorochrysa nitidissima",3.5291,-76.5986,173
"Chlorochrysa nitidissima",5.2432,-76.0963,174
"Chlorochrysa nitidissima",5.3156,-75.9079,175
"Chlorochrysa nitidissima",3.8805,-76.5717,176
"Chlorochrysa nitidissima",3.4548,-76.6345,177
"Chlorochrysa nitidissima",4.744,-75.6033,178
"Chlorochrysa nitidissima",5.2391,-76.0893,179
"Chlorochrysa nitidissima",3.2573,-76.6556,180
"Chlorochrysa nitidissima",4.0538,-76.4912,181
"Chlorochrysa nitidissima",3.623,-76.169,182
"Chlorochrysa nitidissima",3.8879,-76.5961,183
"Chlorochrysa nitidissima",3.3275,-76.6442,184
"Chlorochrysa nitidissima",3.6512,-76.5698,185
"Chlorochrysa nitidissima",5.3633,-75.891,186
"Chlorochrysa nitidissima",7.0235,-75.4111,187
"Chlorochrysa nitidissima",5.0759,-75.4986,188
"Chlorochrysa nitidissima",3.3323,-76.6641,189
"Chlorochrysa nitidissima",4.5634,-76.2322,190
"Chlorochrysa nitidissima",3.9062,-76.5354,191
"Chlorochrysa nitidissima",4.9443,-75.5442,192
"Chlorochrysa nitidissima",3.3063,-76.6008,193
"Chlorochrysa nitidissima",3.3704,-76.6253,194
"Chlorochrysa nitidissima",3.4422,-76.6635,195
"Chlorochrysa nitidissima",5.0674,-75.5296,196
"Chlorochrysa nitidissima",5.0695,-75.4413,197
"Chlorochrysa nitidissima",5.4515,-75.0629,198
"Chlorochrysa nitidissima",3.6454,-76.5495,199
"Chlorochrysa nitidissima",4.9976,-75.5513,200
"Chlorochrysa nitidissima",5.5234,-75.0444,201
"Chlorochrysa nitidissima",6.98,-75.1191,202
"Chlorochrysa nitidissima",7.0791,-75.1588,203
"Chlorochrysa nitidissima",4.5914,-75.6334,204
"Chlorochrysa nitidissima",6.969,-75.0535,205
"Chlorochrysa nitidissima",3.5679,-76.608,206
"Chlorochrysa nitidissima",3.5648,-76.5747,207
"Chlorochrysa nitidissima",4.0107,-76.0764,208
"Chlorochrysa nitidissima",5.1874,-75.9776,209
"Chlorochrysa nitidissima",4.8527,-76.2177,210
"Chlorochrysa nitidissima",3.4926,-76.6215,211
