X_id,source,occurrenceID,species,speciesOriginal,continent,country,lat,lon,catalogNumber,basisOfRecord,earliestDateCollected,downloadDate,resourceName,resourceFolder,resourceIncorporationDate,privateData,decimalLatitude,decimalLongitude,acceptedNameUsage,correctCountry,suggestedCountry,correctStateProvince,suggestedStateProvince,correctCounty,suggestedCounty,sourceLayer,suggestedMunicipality,dbDuplicate,lowUncertainty,hasLocality,inUrbanArea,cellID,spatialDuplicated,url,contributedRecord,insideKnownDistribution,dist2KnowRange,demAltitude,interpretedElevation,environmentalOutlier,diferenceInAltitude,consistentAltitude,altitudinalOutlier,use,taxID,reported,updated,created,collectionCode,stateProvince,institutionCode,year,month,day,recordedBy,visualizationPrivileges,county,verbatimLocality,coordinateUncertaintyInMeters,verbatimElevation,externallyCreated,origin,presence,reportedDate,reportedGeoIssueBm,reportedUserIdBm,season,reportedIdIssueBm,userIdBm,reportedCommentsBm,reportedOriginIntroduced,reportedOriginVagrant,reportedOtherIssuesBm,colection,maximumElevationInMeters,minimumElevationInMeters,recordStatus,createdDate,createdCommentsBm,createdCitationBm,reportedOldTaxonomyBm,eventDate
5f62c146db6000001b005628,EBRG,75210_EBRG-roedores-1,Coendou pruinosus,Coendou pruinosus,Sudamerica,VE,10.38,-67.6189,EBRG 126,PreservedSpecimen ,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,10.38,-67.6189,Coendou pruinosus,TRUE,Venezuela,TRUE,Aragua,FALSE,"Ocumare de la Costa de Oro
",southAmerica - southAmerica - NA,,FALSE,,TRUE,FALSE,743240,FALSE,"",NULL,FALSE,,1310,,,,,,TRUE,8796,list(),list(),list(),EBRG,Aragua,"",,,,"",0,"",Rancho grande,,"",,,,,,,,,,,,,,,,,,,,,,
5f62c146db6000001b005629,EBRG,75110_EBRG-roedores-2,Coendou pruinosus,Coendou pruinosus,Sudamerica,VE,10.4167,-67.2833,EBRG 20243,PreservedSpecimen ,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,10.4167,-67.2833,Coendou pruinosus,TRUE,Venezuela,TRUE,Aragua,TRUE,Tovar,southAmerica - southAmerica - southAmerica,,FALSE,,TRUE,FALSE,732496,FALSE,"",NULL,FALSE,,2087,,,,,,TRUE,8796,list(),list(),list(),EBRG,Aragua,"",,,,"",0,Tovar,Colonia Tovar,,"",,,,,,,,,,,,,,,,,,,,,,
5f62c146db6000001b00562a,Héctor Ramírez-Chaves,74610_HRC-roedores-24,Coendou pruinosus,Coendou pruinosus,Sudamerica,VE,10.5,-66.9167,"",Literature,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,10.5,-66.9167,Coendou pruinosus,TRUE,Venezuela,FALSE,Distrito Capital,FALSE,Libertador,southAmerica - NA - NA,,FALSE,,FALSE,FALSE,705580,FALSE,"",NULL,FALSE,,921,917,,,,,TRUE,8796,list(),list(),list(),"",Distrito Federal,"",,,,"",0,Caracas,"",,917,,,,,,,,,,,,,,,,,,,,,,
5f62c146db6000001b00562b,BMNH,72510_BMNH-roedores-5,Coendou pruinosus,Coendou pruinosus,Sudamerica,VE,10.5719,-66.88,BM 26.11.4.11,PreservedSpecimen ,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,10.5719,-66.88,Coendou pruinosus,TRUE,Venezuela,TRUE,Vargas,FALSE,Vargas,southAmerica - southAmerica - NA,,FALSE,,FALSE,FALSE,681321,FALSE,"",NULL,FALSE,,1169,,,,,,TRUE,8796,list(),list(),list(),BM,Vargas,BMNH,,,,"",0,Caracas,"",,"",,,,,,,,,,,,,,,,,,,,,,
5f62c146db6000001b00562c,FMNH,69810_FMNH-roedores-14,Coendou pruinosus,Coendou pruinosus,Sudamerica,CO,2.05,-73.95,FMNH 87896,PreservedSpecimen ,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,2.05,-73.95,Coendou pruinosus,TRUE,Colombia,TRUE,Meta,TRUE,La Macarena,mpios2014 - mpios2014 - mpios2014,,FALSE,,TRUE,FALSE,3438480,FALSE,"",NULL,FALSE,,278,4500,,,,,TRUE,8796,list(),list(),list(),FMNH,Meta ,Field Museum Natural History (FMNH),,,,"",0,Macarena,Pico Rengifo,,4500,,,,,,,,,,,,,,,,,,,,,,
5f62c146db6000001b00562d,ICN,62010_ICN-roedores-46,Coendou pruinosus,Coendou pruinosus,Sudamerica,CO,3.85,-67.9167,ICN 13939,PreservedSpecimen ,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,3.85,-67.9167,Coendou pruinosus,TRUE,Colombia,TRUE,Guainía,TRUE,Inírida,mpios2014 - mpios2014 - mpios2014,,FALSE,,TRUE,FALSE,2856868,FALSE,"",NULL,FALSE,,93,,,,,,TRUE,8796,list(),list(),list(),ICN,Guainía,ICN,,,,"",0,Puerto Inírida,Caño Neuquén ,,"",,,,,,,,,,,,,,,,,,,,,,
5f62c146db6000001b00562e,IAvH,61710_IAvH-roedores-64,Coendou pruinosus,Coendou pruinosus,Sudamerica,CO,4.0333,-67.7167,IAvH 3963,PreservedSpecimen ,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,4.0333,-67.7167,Coendou pruinosus,TRUE,Colombia,TRUE,Guainía,FALSE,Inírida,mpios2014 - southAmerica - NA,,FALSE,,TRUE,FALSE,2797580,FALSE,"",NULL,FALSE,,94,,,,,,TRUE,8796,list(),list(),list(),Colección de Mamí­feros del Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH-M),Vichada,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),,,,"",0,"",Corregimiento El Tesoro  Margen izquierdo del río Guaviare  entre la confluencia del río Guaviare con El Orinoco y la boca del río Inírida ,,"",,,,,,,,,,,,,,,,,,,,,,
5f62c146db6000001b00562f,AMNH,60510_AMNH-roedores-33,Coendou pruinosus,Coendou pruinosus,Sudamerica,CO,4.1469,-73.6294,AMNH 136312,PreservedSpecimen ,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,4.1469,-73.6294,Coendou pruinosus,TRUE,Colombia,TRUE,Meta,TRUE,Villavicencio,mpios2014 - mpios2014 - mpios2014,VILLAVICENCIO,FALSE,,FALSE,TRUE,2759127,FALSE,"",NULL,FALSE,,442,500,,,,,TRUE,8796,list(),list(),list(),AMNH,Meta ,AMNH,,,,"",0,Villavicencio,"",,500,,,,,,,,,,,,,,,,,,,,,,
5f62c146db6000001b005630,KOH CCO KSR,CPR007,Coendou pruinosus,Coendou pruinosus,Sudamerica,CO,4.7421,-74.5506,"",HumanObservation,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,4.7421,-74.5506,Coendou pruinosus,TRUE,Colombia,TRUE,Cundinamarca,TRUE,Quipile,mpios2014 - mpios2014 - mpios2014,,FALSE,,TRUE,FALSE,2564904,FALSE,"",NULL,FALSE,,1760,,,,,,TRUE,8796,list(),list(),list(),"",Cundinamarca,SCE-ACI,,,,Parada  D.  Osbahr  K.  & Vargas  M.,0,Quipile,Vereda El Sinai,,"",,,,,,,,,,,,,,,,,,,,,,
5f62c146db6000001b005631,FMNH,31610_FMNH-roedores-13,Coendou pruinosus,Coendou pruinosus,Sudamerica,CO,7.3667,-72.65,FMNH 140260/140261,PreservedSpecimen ,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,7.3667,-72.65,Coendou pruinosus,TRUE,Colombia,TRUE,Norte de Santander,FALSE,Pamplona,mpios2014 - mpios2014 - NA,Pamolona,FALSE,,TRUE,TRUE,1718588,FALSE,"",NULL,FALSE,,2339,2340,,,,,TRUE,8796,list(),list(),list(),FMNH,Norte de Santander,Field Museum Natural History (FMNH),,,,"",0,"",Alturas de Pamplona,,2340,,,,,,,,,,,,,,,,,,,,,,
5f62c146db6000001b005632,MLS,31510_MLS-roedores-3,Coendou pruinosus,Coendou pruinosus,Sudamerica,CO,7.3761,-72.6483,MLS 2020,PreservedSpecimen ,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,7.3761,-72.6483,Coendou pruinosus,TRUE,Colombia,TRUE,Norte de Santander,TRUE,Pamplona,mpios2014 - mpios2014 - mpios2014,Pamolona,FALSE,,FALSE,TRUE,1713197,FALSE,"",NULL,FALSE,,2321,2342,,,,,TRUE,8796,list(),list(),list(),MLS ,Norte de Santander,MLS,,,,"",0,Pamplona ,"",,2342,,,,,,,,,,,,,,,,,,,,,,
5f62c146db6000001b005633,ICN,31010_ICN-roedores-47,Coendou pruinosus,Coendou pruinosus,Sudamerica,CO,7.6333,-72.7833,ICN 10980,PreservedSpecimen ,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,7.6333,-72.7833,Coendou pruinosus,TRUE,Colombia,TRUE,Norte de Santander,TRUE,Arboledas,mpios2014 - mpios2014 - mpios2014,,FALSE,,FALSE,FALSE,1632300,FALSE,"",NULL,FALSE,,1131,,,,,,TRUE,8796,list(),list(),list(),ICN,Norte de Santander,ICN,,,,"",0,Arboletes,"",,"",,,,,,,,,,,,,,,,,,,,,,
5f62c146db6000001b005634,Héctor Ramírez-Chaves,16115_HRC-roedores-23,Coendou pruinosus,Coendou pruinosus,Sudamerica,VE,8.3833,-71.7833,"",Literature,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,8.3833,-71.7833,Coendou pruinosus,TRUE,Venezuela,TRUE,Mérida,FALSE,Zea,southAmerica - southAmerica - NA,,FALSE,,TRUE,FALSE,1389780,FALSE,"",NULL,FALSE,,890,1500,,,,,TRUE,8796,list(),list(),list(),"",Mérida,"",,,,"",0,"",Finca el Cumbe  3.5 km SW Zea,,1500,,,,,,,,,,,,,,,,,,,,,,
5f62c146db6000001b005635,AMNH,13511_AMNH-roedores-32,Coendou pruinosus,Coendou pruinosus,Sudamerica,VE,8.6,-71.15,AMNH 21350,PreservedSpecimen ,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,8.6,-71.15,Coendou pruinosus,TRUE,Venezuela,TRUE,Mérida,FALSE,Libertador,southAmerica - southAmerica - NA,,FALSE,,FALSE,FALSE,1319760,FALSE,"",NULL,FALSE,,1723,,,,,,TRUE,8796,list(),list(),list(),AMNH,Mérida,AMNH,,,,"",0,Mérida,"",,"",,,,,,,,,,,,,,,,,,,,,,
5f62c146db6000001b005636,Héctor Ramírez-Chaves,13618_HRC-roedores-22,Coendou pruinosus,Coendou pruinosus,Sudamerica,VE,8.6,-71.2,"",Literature,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,8.6,-71.2,Coendou pruinosus,TRUE,Venezuela,TRUE,Mérida,FALSE,Libertador,southAmerica - southAmerica - NA,,FALSE,,TRUE,FALSE,1319754,FALSE,"",NULL,FALSE,,2043,2500,,,,,TRUE,8796,list(),list(),list(),"",Mérida,"",,,,"",0,"",Montañas de la Pedregosa,,2500,,,,,,,,,,,,,,,,,,,,,,
5f62c146db6000001b005637,Héctor Ramírez-Chaves,13348_HRC-roedores-21,Coendou pruinosus,Coendou pruinosus,Sudamerica,VE,8.6333,-71.0667,"",Literature,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,8.6333,-71.0667,Coendou pruinosus,TRUE,Venezuela,TRUE,Mérida,FALSE,Libertador,southAmerica - southAmerica - NA,,FALSE,,TRUE,FALSE,1308986,FALSE,"",NULL,FALSE,,1827,2600,,,,,TRUE,8796,list(),list(),list(),"",Mérida,"",,,,"",0,"",Montañas de Tabay,,2600,,,,,,,,,,,,,,,,,,,,,,
5f62c146db6000001b005638,USNM,41100_USNM-roedores-13,Coendou pruinosus,Coendou pruinosus,Sudamerica,VE,9.15,-72.6,USNM 496172,PreservedSpecimen ,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,9.15,-72.6,Coendou pruinosus,TRUE,Venezuela,TRUE,Zulia,FALSE,Jesús María Semprún,southAmerica - southAmerica - NA,,FALSE,,FALSE,FALSE,1141650,FALSE,"",NULL,FALSE,,18,54,,,,,TRUE,8796,list(),list(),list(),USNM,Zulia,"",,,,"",0,El Rosario,"",,54,,,,,,,,,,,,,,,,,,,,,,
5f62c146db6000001b005639,MHNLS,51000_MHNLS-roedores-1,Coendou pruinosus,Coendou pruinosus,Sudamerica,VE,9.8333,-72.8667,MHNLS 7692,PreservedSpecimen ,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,9.8333,-72.8667,Coendou pruinosus,TRUE,Venezuela,TRUE,Zulia,FALSE,Machiques de Perijá,southAmerica - southAmerica - NA,,FALSE,,TRUE,FALSE,920546,FALSE,"",NULL,FALSE,,1253,200,,,,,TRUE,8796,list(),list(),list(),MHNLS,Zulia,"",,,,"",0,Machiques,Misión Tukuko,,200,,,,,,,,,,,,,,,,,,,,,,
